Priority,Company Name,County / Area,Builder Type,Active Communities (Upstate SC),Price Range,Main Office Phone,Office Address,Website,Key Contact Name,Key Contact Title,Key Contact Email / Notes,Homes / Year (est.),Outreach Notes
HIGH,D.R. Horton,Greenville / Spartanburg / Pickens,Production / Volume,"Savannah Pointe (Simpsonville), Rose Hill (Easley), Paddock Point (Greenville), 27+ Greenville County communities",$215K–$655K,(864) 757-9930,"100 Verdae Blvd, Greenville SC 29607",drhorton.com,Division Sales Office,Sales Manager,Via drhorton.com/contact-us-page,Hundreds/yr in Upstate,Largest builder in the US. America's most active builder in Boiling Springs. Referral agreement here = massive volume. Target: Sales Manager or VP of Sales.
HIGH,Ryan Homes (NVR Inc.),Greenville / Spartanburg / Pickens,Production / Volume,"Arden Woods, Arden Estates (Greenville), 27 Greenville County + 27 Spartanburg County + 13 Pickens County communities",$200s–$400s,(864) 284-9300,"651 Brookfield Pkwy, Suite 200, Greenville SC",ryanhomes.com,Steve Bertling,Branch Manager,Via ryanhomes.com/contact-us,~500+ in Upstate,A+ BBB. 30+ SC communities. 13 communities in Pickens County alone. Mix of entry-level + Active Adult (55+). High priority.
HIGH,Mungo Homes,Greenville / Spartanburg,Production / Volume (SC-based),"Ben's Crossing, Braxton Place, Burke Estates, Cottages at Lake Emory, Dove Hollow, Hawthorn Ridge, Wingate, Edwards Station (townhomes), Lakeside Saluda, Taylor Oaks, Windsor Forest — 26 communities",$230K–$600K+,(864) 849-8390 (Greenville/Sptbg Div); 877-353-6053 (corp),Greenville/Spartanburg Division,mungo.com,New Home Advisors,Division Sales,mungo@mungo.com,110+ homes for sale in market,SC-based since 1954. One of SC's largest builders. Strong in both counties. Townhomes in Taylors/Greer. Relationship builder — very warm outreach target.
HIGH,Eastwood Homes,Greenville / Spartanburg,Production / Volume (regional),"Bellevue (Greenville), East Main Townes (Spartanburg), Founders Club (Moore), CraigStone (Woodruff), Benjamin's Grove (Woodruff), Clairborne (Landrum). Coming 2026: Hinson Farm, Irby Glen, Heritage Landing, Claybank Farm",Mid $200s–Mid $400s,(864) 286-9670,"1200 Woodruff Rd, Greenville SC 29607",eastwoodhomes.com,Dion Matheney,Division Contact,Via eastwoodhomes.com/contact-us,8+ new communities in 2025–26,Aggressive expansion into Spartanburg County in 2025. In Greenville market since 2000. Build-on-your-lot option. High-growth trajectory.
HIGH,Enchanted Homes,Spartanburg / Greenville / Cherokee / Anderson,Semi-Custom / Production (local volume),"Cleveland Meadows (Spartanburg) + 40+ communities across Greenville-Spartanburg area",$180K–$600K+,(864) 400-0698; (864) 895-0601 (Campobello),"200 Hope Rd, Spartanburg SC 29303",enchantedhomes.com,Ryan Kaiser,Owner,Via enchantedhomes.com,40+ active communities,SC's most active local volume builder. 40+ communities! Ryan Kaiser is the owner — go direct. Upstate SC's self-described 'home builder of choice.' Very high priority.
HIGH,Meritage Homes,Greenville / Spartanburg,Production / Volume,"Hunters Ridge, Bellagio, Bridgewater, Heritage Point, Kilgore Farms, McRae Park, Tanner Estates (all from Legendary Communities acq.), Arden Woods",~$414K–$500K+,(864) 751-3190,"701 Brookfield Pkwy, Suite 103, Greenville SC 29607",meritagehomes.com,Division Sales Office,,Via meritagehomes.com,Top-10 national builder,Acquired Legendary Communities for $130M — inherited massive Greenville market footprint. Strong in Simpsonville/Greer corridors. Offering $15K incentives currently.
HIGH,Pulte Homes (PulteGroup),Greenville / Spartanburg / Pickens,Production / Volume,"Alston Park (Greenville, 88 townhomes), Harrington (Greenville, master-planned), Indigo Park (Easley — Pickens County)",$300s–$500s+,(843) 514-5885,"28 Global Drive, Suite 102, Greenville SC 29607",pulte.com,Chad Plunkett,Division President,Heather Fouts: Heather.Fouts@pulte.com / (864) 605-8946,New market — rapid growth,New market entrant (grand opening 2024). Alston Park is first community inside City of Greenville. Smart home tech standard. 10-year structural warranty.
HIGH,McAlister Realty / SK Builders,Greenville / Spartanburg / Pickens,Semi-Custom / Production,"Lincoln Park (Taylors), communities in Inman, Boiling Springs, Greer, Simpsonville + many more across Upstate",$250K–$500K,(864) 292-0400,"955 W. Wade Hampton Blvd, Suite 9B, Greer SC 29650",builderpeople.com,SK Builders Sales Team,,Via builderpeople.com/realtor-contact,Wide regional footprint,Est. 1988. Builder-realty partnership covers NC–GA border across all Upstate SC. Build-on-your-lot throughout region. Very broad coverage.
MEDIUM,Stanley Martin Homes (Daiwa House Group),Greenville / Spartanburg,Production / Semi-Custom,"Persimmon Hill (Lyman), Parkland (Greenville), 13+ communities in Greer, Easley, Mauldin, Simpsonville",Low $200s–Mid $400s,Visit stanleymartin.com/contact-us,"430 Roper Mountain Rd, Greenville SC 29615",stanleymartin.com,Greenville/Spartanburg Division Sales,,Via stanleymartin.com/contact-us,4614 closings nationally in 2024 (#21 nationally),#21 nationally in 2025. Subsidiary of Japan's Daiwa House Group. Mix of SFH and townhomes. Strong in Lyman/Greer corridor.
MEDIUM,Century Complete (Century Communities),Greenville / Spartanburg / Pickens,Production / Volume,"Ellison Townhomes (Spartanburg — coming soon), multiple in city of Pickens",Low $200s–$350K,Visit centurycommunities.com/contact,"1401 Woodruff Rd, Suite B, Greenville SC 29607 (Upstate Studio)",centurycommunities.com,Upstate Studio,,Via centurycommunities.com/contact,#10 national builder,Online homebuying focus (Century Complete brand). Active in Pickens County. Strong entry-level/affordable price point.
MEDIUM,DRB Homes (formerly Dan Ryan Builders),Greenville / Spartanburg,Production,"Communities in Easley, Simpsonville, Greenville, Greer, Spartanburg",Mid $100s–Low $300s,(864) 991-2915,Varies by community,drbhomes.com,Jeison Garcia,Upstate SC Sales/Realtor,Via drbhomes.com,Mid-size regional,Rebranded from Dan Ryan Builders. Entry-level focus. ~15 floor plans in Greenville area. Facebook: DRB Homes Greenville/Spartanburg.
MEDIUM,Smith Douglas Homes,Greenville (Travelers Rest),Production (townhomes),Magnolia Trail (Travelers Rest — 77 townhomes; first SC community),~$270K–$350K,(864) 704-3489,"7 Lone Cypress St, Travelers Rest SC 29690",smithdouglas.com,Tracy Carrasquillo; Robert Vickery,Sales Representatives,Via smithdouglas.com/contact-us,New to SC — expanding,First SC community just launched. Near Swamp Rabbit Trail. Will likely expand further into Greenville market. Growing builder.
