Record Type,Name,County,City / Area,Mgmt Company,Mgmt Phone,Mgmt Email / Website,HOA Board Contact,HOA Board Phone / Email,Approx Homes,Community Type,Outreach Notes
MGMT CO — TIER 1,Hinson Management Inc.,Spartanburg,Boiling Springs / Spartanburg,Hinson Management Inc.,(864) 599-9019,,Tanner Humphries (contact),(864) 599-9019 / hinsonmanagement.com,,HOA Management Company,"Self-described largest single HOA manager in Upstate SC. PO Box 160207 / 170 Giles Dr, Boiling Springs SC 29316. Fax: (864) 599-9029. One call reaches dozens of Spartanburg County communities. HIGHEST PRIORITY."
MGMT CO — TIER 1,Light Property Management Inc.,Spartanburg,Spartanburg / Inman / Boiling Springs,Light Property Management Inc.,(864) 585-2525,,,(via lightpropertymanagement.com),,HOA Management Company,"841 E Main St Suite 4, Spartanburg SC 29302. 25+ confirmed communities including Bennington Farms, Glen Meadows, Gardens at Timm Creek, Glenn Forest, Berry's Pond, Wedgewood Townes, Stone Creek Falls, Reserve at Woodfin Ridge, and many more. One call = 25+ communities."
MGMT CO — TIER 1,HOAupstate,Multi-county,Greenville / Spartanburg / Simpsonville / Mauldin / Greer / Fountain Inn / Clemson,HOAupstate,,hoaupstate.com,,,,HOA Management Company,"Manages 100+ HOAs across Upstate SC. Counties: Greenville, Spartanburg, Pickens, Anderson, Abbeville, Union, Cherokee. One of the most important contacts to reach."
MGMT CO — TIER 1,Cedar Management Group,Multi-county,Greenville / Spartanburg / Pickens / Anderson,Cedar Management Group,(864) 469-4937,sales@mycmg.com / cedarmanagementgroup.com,,,(many),HOA Management Company,"Also: (877) 252-3327 toll-free. Manages Five Forks Plantation (Simpsonville) and many others. Very broad footprint."
MGMT CO — TIER 1,C. Dan Joyner Property Management (CDJ),Greenville,Greenville / Greer / Simpsonville / Anderson / Spartanburg,CDJ Property Management,(864) 242-4466,cdjpropertymanagement.com,Therese Allen (HOA Manager — Pelham Falls),tallen@cdanjoyner.com / (864) 678-5345,(many),HOA Management Company,"735 N. Pleasantburg Dr., Greenville SC 29607. Manages Orchard Farms, Pelham Falls, Silver Ridge, Stonehaven + many more. Very large Greenville County footprint. Call main line or Therese Allen directly."
MGMT CO — TIER 1,Community Management Partners (CMP / HOA Partner),Multi-county,Greenville / Spartanburg / Pickens / Anderson / Laurens,CMP / HOA Partner,(864) 568-5800,(per-community emails) / hoapartner.com,,,  ,HOA Management Company,"7 Davis Keats Dr., Greenville SC 29607. Mon–Thu 9am–4pm. Manages Shelburne Farms, Morning Mist, and many others. Note: per-community emails assigned (e.g. morningmist@hoapartner.com)."
MGMT CO — TIER 1,William Douglas Property Management,Multi-county,Mauldin / Greenville / Spartanburg / Pickens / Anderson,William Douglas PM,(864) 284-6515,hoa@wmdouglas.com / wmdouglas.com,,,(many),HOA Management Company,"412 E Butler Rd, Mauldin SC 29662. Also: (704) 347-8900. Manages many Greenville-area communities."
MGMT CO — TIER 1,Association Management Group (AMG),Multi-county,Greenville / Spartanburg / Pickens / Anderson / Laurens,AMG,(864) 967-3564,,amgworld.com/greenville,,(many),HOA Management Company,"Manages Parkins Mill Village and many others. Multi-county Upstate footprint."
MGMT CO — TIER 1,HOA Management Services LLC,Spartanburg / Cherokee / Union,Spartanburg,HOA Management Services LLC,(864) 553-4056,info@hoamgmtservices.com / hoamgmtservices.com,,,  ,HOA Management Company,"1218 John B White Sr Blvd, Ste F, Spartanburg SC 29306. Also serves Western NC. Portal: cmp.cincwebaxis.com."
MGMT CO — TIER 1,NHE Inc.,Multi-county,Greenville-based; serves 15 states,NHE Inc.,,nhe-inc.com,,,(18000+ homes across 15 states),HOA Management Company,"Greenville-based company managing 18,000+ homes nationally. Manages Sugar Creek Villas and others in Upstate SC. Large footprint."
MGMT CO — TIER 2,CAMS (Community Association Management Services),Multi-county,Greenville / Spartanburg / Pickens,CAMS,(877) 672-2267,email@camsmgt.com / camsmgt.com,,,(many),HOA Management Company,"10 Patewood Dr, Building 6, Suite 270, Greenville SC 29615. Portal: portal.camsmgt.com."
MGMT CO — TIER 2,Association Consulting & Management Services (ACMS),Multi-county,Anderson / Pickens / Laurens / Oconee / Greenville,ACMS,(864) 760-9861,,acmssc.com,,,(many),HOA Management Company,"2404B Anderson Highway, Williamston SC 29697. Anderson/Pickens County focus."
MGMT CO — TIER 2,Red Rock Management,Greenville / Pickens,Greenville / Liberty / Central / Clemson,Red Rock Management,(864) 584-7228 or (888) 757-3376,,gowithredrock.com,,,(many),HOA Management Company,"141 Traction St #101, Greenville SC 29611. Pickens County coverage (Liberty, Central, Clemson) — good for BPP service area."
MGMT CO — TIER 2,Blue Bridge Management (BBM Group),Multi-county,Greenville / Spartanburg / Pickens / Anderson / Laurens,Blue Bridge Management,,bbmgvl.com,,,(many),HOA Management Company,Greenville-based. Multi-county Upstate footprint.
MGMT CO — TIER 2,Town & Country Property Management,Greenville,Simpsonville,Town & Country PM,,(via portal),,,  ,HOA Management Company,"215 N Main St #2C, Simpsonville SC 29681. Manages Morning Mist subdivision (confirmed) and possibly others. Portal: townandcountrypropertymgmt.appfolio.com."
MGMT CO — TIER 2,PMI Upstate SC (Greenville Property Management Inc.),Greenville,Greenville,PMI Upstate SC,(864) 326-0018,,greenvillepropertymanagementinc.com,,,(many),HOA Management Company,Greenville-focused PM company. Good secondary contact.
COMMUNITY — HIGH,Five Forks Plantation,Greenville,Simpsonville (Five Forks),Cedar Management Group,(864) 469-4937,sales@mycmg.com,,,(800+),Single-family subdivision,"One of most popular Simpsonville communities. HOA address: 16 Clifton Grove Way, Simpsonville SC. Pool, tennis, clubhouse, trails. Very high homeowner density — ideal target."
COMMUNITY — HIGH,River Walk,Greenville,Simpsonville (Five Forks),Self-managed (River Walk Recreation Inc.),Via thisisriverwalk.com,thisisriverwalk.com,Board (via website),thisisriverwalk.com,440,Single-family subdivision,"Founded 1987. 4-mile leisure trail along Gilder Creek. Pool, tennis, clubhouse. Very active HOA — contact board directly."
