Send Order,Contact Type,Who to Contact,Phone,Email / Website,Communities Covered (all reached with ONE outreach),Total Homes Reached (est.),Action,Notes / Watch Out For
1,MGMT CO,Hinson Management Inc.,(864) 599-9019,hinsonmanagement.com,"Glenlake (Boiling Springs, 300+ homes) + dozens of other Spartanburg County communities not individually named in research",1000+,Call first then email,"HIGHEST PRIORITY. Self-described largest HOA manager in Upstate SC. One call/email reaches their entire Spartanburg portfolio. Ask: 'Which communities in your portfolio would benefit from knowing about generator inlet connections?' Tanner Humphries is the contact name."
2,MGMT CO,Light Property Management Inc.,(864) 585-2525,lightpropertymanagement.com,"Bennington Farms, Glen Meadows (Inman), The Gardens at Timm Creek, Glenn Forest, Upper Beaver Creek, Berry's Pond, Glenn Harbour, Village at Creekside, Brick Street Lofts, Lancaster Farms, Wedgewood Townes, Cambridge, Montgomery Lake, Woodlands at Autumn Glen, Clairmont Estates, Riveredge, The Reserve at Woodfin Ridge, Converse Place, Rolling Rivers, Stone Creek Falls, Creekside/Oaks at Rock Springs, Shady Grove Hills, Woodburn Club, Dunnsmore, Spartan Exchange Village, Gentry Place, Stonewood Crossing (27+ confirmed communities)",3000+,Call first then email,"ONE email reaches 27 confirmed communities. Ask them to forward your info/flyer to all their community boards. Attach neighborhood-pitch.pdf."
3,MGMT CO,HOAupstate,,hoaupstate.com,"100+ HOAs across Greenville, Spartanburg, Pickens, Anderson, Abbeville, Union, Cherokee counties",10000+,Email via website then follow up by phone,"Biggest single contact on the list — 100+ communities. Find contact form at hoaupstate.com. If possible, find a direct contact name before emailing."
4,MGMT CO,Cedar Management Group,(864) 469-4937,sales@mycmg.com,"Five Forks Plantation (Simpsonville, 800+ homes), Verdmont (Simpsonville, 300+ homes), + many more Greenville/Spartanburg/Pickens communities",2000+,Email sales@mycmg.com then call,"Also reachable at (877) 252-3327. Manages some of the largest Simpsonville communities. One email reaches the whole portfolio."
5,MGMT CO,C. Dan Joyner Property Management (CDJ),(864) 242-4466,cdjpropertymanagement.com,"Orchard Farms (Simpsonville, 400+), Pelham Falls (Greer, 300+), Silver Ridge (Greer, 134), Stonehaven Section 1 (Simpsonville, 134) + more","1000+, likely more",Call main line OR Therese Allen direct,"Therese Allen is confirmed HOA Manager: tallen@cdanjoyner.com / (864) 678-5345. Calling her direct is faster than the main line. One call covers all CDJ-managed communities."
6,MGMT CO,Community Management Partners (CMP / HOA Partner),(864) 568-5800,hoapartner.com,"Shelburne Farms (Greer, 200+), Morning Mist (Simpsonville, 200+) + more CMP-managed communities",500+,Call then email,"⚠️ Morning Mist ALSO appears under Town & Country PM below — possible data conflict. Contact CMP first. If they confirm they manage Morning Mist, do NOT also contact Town & Country about Morning Mist. CMP hours: Mon–Thu 9am–4pm."
7,MGMT CO,William Douglas Property Management,(864) 284-6515,hoa@wmdouglas.com,"Many Greenville, Spartanburg, Pickens, Anderson communities (specific list not publicly available)",Unknown,Email hoa@wmdouglas.com then call,"412 E Butler Rd, Mauldin SC 29662. Also: (704) 347-8900. Ask them to share with their community managers."
8,MGMT CO,Association Management Group (AMG),(864) 967-3564,amgworld.com/greenville,"Parkins Mill Village (Greenville, 200+) + many more Greenville/Spartanburg/Pickens communities",500+,Call then email via website,"Multi-county footprint. Good for in-town Greenville communities."
9,MGMT CO,HOA Management Services LLC,(864) 553-4056,info@hoamgmtservices.com,"Multiple Spartanburg, Cherokee, and Union County communities (specific list not public)",Unknown,Email info@hoamgmtservices.com then call,"1218 John B White Sr Blvd, Ste F, Spartanburg SC 29306. Also serves Western NC."
10,MGMT CO,NHE Inc.,,nhe-inc.com,"Sugar Creek Villas + other Upstate SC communities (18,000+ homes nationally)",Unknown,Contact via nhe-inc.com,"Greenville-based. Large national footprint with local Upstate portfolio. Find direct contact on website."
